date,open,high,low,close,adj_close,volume
2024-02-21,495.4200,497.3700,493.5600,497.2100,482.6500,59293400
2024-02-22,504.0100,508.4900,503.0200,507.5000,492.6387,76402500
2024-02-23,509.2700,510.1300,507.1000,507.8500,492.9785,61321800
2024-02-26,508.3000,508.7500,505.8600,505.9900,491.1729,50386700
2024-02-27,506.7000,507.1600,504.7500,506.9300,492.0854,48854500
2024-02-28,505.3300,506.8600,504.9600,506.2600,491.4350,56506600
2024-02-29,508.0700,509.7400,505.3500,508.0800,493.2017,83924800
2024-03-01,508.9800,513.2900,508.5600,512.8500,497.8320,76844800
2024-03-04,512.0300,514.2000,512.0000,512.3000,497.2982,49799300
2024-03-05,510.2400,510.7000,504.9100,507.1800,492.3281,72855600
2024-03-06,510.5500,512.0700,508.4200,509.7500,494.8228,68382400
2024-03-07,513.1400,515.8900,509.8100,514.8100,499.7346,58652100
2024-03-08,515.4600,518.2200,511.1300,511.7200,496.7351,86532500
2024-03-11,510.4800,511.8800,508.5000,511.2800,496.3080,62557200
2024-03-12,513.4500,517.3800,510.8600,516.7800,501.6470,73114400
2024-03-13,517.1100,517.2900,514.4900,515.9700,500.8606,55104100
2024-03-14,516.9700,517.1300,511.8200,514.9500,499.8706,110171800
2024-03-15,510.2100,511.7000,508.1200,509.8300,496.4381,107646300
2024-03-18,514.0000,515.4800,512.4400,512.8600,499.3885,88893300
2024-03-19,512.1500,516.0000,511.1200,515.7100,502.1636,60755300
2024-03-20,515.7700,520.6200,515.0800,520.4800,506.8083,69594600
2024-03-21,523.3900,524.1100,521.9100,522.2000,508.4832,60256100
2024-03-22,522.1100,522.6100,520.9700,521.2100,507.5191,79070800
2024-03-25,519.8000,520.9500,519.6100,519.7700,506.1171,48512100
2024-03-26,521.2300,521.5800,518.4000,518.8100,505.1822,65463700
2024-03-27,521.7100,523.2100,519.4900,523.1700,509.4278,82999800
2024-03-28,523.2100,524.6100,522.7800,523.0700,509.3303,96294900
2024-04-01,523.8300,524.3800,520.9700,522.1600,508.4442,62477500
2024-04-02,518.2400,518.9800,516.4800,518.8400,505.2115,74230300
2024-04-03,517.7200,520.9500,517.6700,519.4100,505.7665,59155800
2024-04-04,523.5200,523.8700,512.7600,513.0700,499.5930,96858100
